,1990-08-07,1991-10-01,1993-12-01,1994-04-01,1994-06-01,1994-07-04,1995-04-13,1995-04-13,1995-05-01,1995-10-01,1995-10-01,1996-02-26,1997-01-01,1997-03-01,1997-04-14,1997-06-01,1997-11-10,1997-11-10,1997-12-01,1998-01-01,1998-02-23,1998-04-27,1998-09-07,1998-10-05,1998-10-19,1999-01-01,1999-01-01,1999-01-04,1999-01-04,1999-04-01,1999-07-01,1999-07-15,1999-09-01,1999-10-01,1999-10-15,1999-11-01,2000-01-01,2000-02-01,2000-05-29,2000-06-01,2000-06-01,2000-06-12,2000-07-27,2000-10-01,2000-12-11,2001-02-12,2001-03-01,2001-05-01,2001-07-20,2001-08-13,2001-08-30,2001-10-18,2001-10-26,2001-11-07,2002-03-01,2002-09-16,2002-10-25,2002-12-01,2003-01-01,2003-01-01,2003-08-01,2003-10-01,2003-10-19,2004-01-01,2004-02-01,2004-02-01,2004-03-01,2004-03-23,2004-05-28,2004-08-01,2004-08-01,2004-10-25,2004-12-14,2005-01-01,2005-01-01,2005-02-11,2005-12-16,2006-01-30,2006-03-24,2006-05-01,2007-01-01,2007-01-01,2007-05-22,2007-07-27,2007-07-31,2007-10-01,2008-01-01,2008-01-01,2008-01-23,2008-03-12,2008-03-13,2008-07-22,2008-10-10,2008-12-07,2009-01-01,2009-01-01,2010-01-01,2010-01-05,2010-02-19,2010-06-01,2010-09-10,2010-09-12,2011-02-24,2011-03-30,2011-12-31,2012-03-19,2012-04-19,2012-09-17,2012-10-31,2013-01-28,2013-10-04,2013-11-01,2014-02-06,2014-03-05,2014-04-24,2014-07-11,2014-08-01,2014-10-17,2015-01-12,2015-04-01,2015-04-08,2015-08-05,2015-10-01,2015-11-16,2016-04-12,2016-06-06,2016-11-04,2017-01-05,2017-04-29,2017-11-29,2018-03-02,2018-06-17,2018-11-01,2019-01-01,2019-01-01,2019-01-02,2019-03-04,2019-03-07,2019-03-13,2019-03-18,2019-04-15,2019-11-06,2020-02-18,2020-03-04,2020-03-04,2020-04-01,2020-07-07,2020-10-19,2020-12-14,2020-12-17,2020-12-17,2021-02-02,2021-04-20,2022-01-25,2022-04-27,2022-05-24,2022-06-11,2022-09-09,2022-11-30,2023-03-21,2023-04-21,2023-04-24,2023-06-17,2023-07-25,2023-07-27,
,2,3,5,5,3,3,2,2,7,3,4,3,7,5,2,5,2,2,5,2,2,2,2,4,6,3,4,4,3,3,4,6,3,3,2,6,8,5,9,3,5,2,3,5,2,3,4,4,4,6,8,6,4,6,4,5,2,3,3,2,4,21,3,4,2,5,4,3,3,2,2,5,6,3,3,3,3,3,6,13,3,13,6,4,7,5,4,13,8,2,4,6,4,40,4,2,7,10,4,3,1,4,2,3,3,1,5,7,3,3,3,9,6,6,6,4,7,17,25,48,3,2,5,30,7,6,5,4,20,16,14,2,3,3,2,24,5,1,3,13,3,4,4,4,3,40,4,3,3,4,5,40,26,4,4,2,2,7,6,4,4,3,4,2,2,
https://openalex.org/A5025323154,1,1,2,2,2,2,1,1,2,1,2,1,5,2,LAST,4,LAST,LAST,LAST,LAST,LAST,LAST,LAST,2,4,LAST,1,3,2,1,LAST,2,LAST,1,1,4,5,LAST,7,1,LAST,LAST,LAST,LAST,LAST,LAST,LAST,3,3,5,5,5,LAST,5,3,4,LAST,LAST,LAST,1,3,19,LAST,3,1,LAST,1,LAST,LAST,LAST,LAST,4,LAST,LAST,LAST,LAST,LAST,2,LAST,11,LAST,3,LAST,3,6,4,LAST,3,6,LAST,LAST,LAST,3,39,3,LAST,LAST,7,LAST,LAST,LAST,LAST,LAST,LAST,2,LAST,4,LAST,1,LAST,LAST,LAST,4,5,LAST,LAST,6,4,LAST,40,LAST,LAST,LAST,21,4,5,LAST,3,2,14,LAST,LAST,LAST,2,1,18,LAST,LAST,LAST,LAST,LAST,LAST,LAST,LAST,LAST,3,3,LAST,LAST,LAST,LAST,3,25,LAST,3,LAST,LAST,6,LAST,LAST,LAST,LAST,LAST,LAST,LAST,
https://openalex.org/A5073544378,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
https://openalex.org/A5045629242,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
https://openalex.org/A5070769719,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
https://openalex.org/A5025059277,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,LAST,0,0,4,0,0,0,0,0,0,0,0,LAST,0,LAST,0,0,0,0,0,LAST,LAST,0,LAST,0,0,0,0,0,0,0,2,0,0,0,LAST,0,3,LAST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
https://openalex.org/A5000917692,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
https://openalex.org/A5045936280,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
https://openalex.org/A5090696901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
https://openalex.org/A5012905268,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,0,1,2,LAST,2,3,0,4,2,0,1,1,3,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
